hotel_id,hotel_name,hotel_phone_number,hotel_email,hotel_floor_count,hotel_room_count,address_id,star_rating_id
1,Linkbridge,86(262)195-5516,etungay0@live.com,5,629,364,637
2,Tagchat,55(988)133-3692,rshwalbe1@pen.io,5,605,374,625
3,Jabbercube,33(106)263-2135,abalfre2@yolasite.com,5,617,321,677
4,Fanoodle,52(660)575-5674,aoheffernan3@blogs.com,6,531,352,693
5,Twitterbeat,351(881)413-0980,wwehden4@woothemes.com,5,509,342,662
6,Oodoo,62(843)634-3370,egwioneth5@smugmug.com,5,665,332,689
7,Twinder,420(385)395-3645,rshimon6@eepurl.com,5,679,343,634
8,Kwimbee,351(933)890-5517,fgribbin7@nytimes.com,6,532,370,664
9,Jaxbean,86(583)358-4314,lminguet8@msn.com,6,692,318,658
10,Jabbertype,63(487)711-8073,abellini9@china.com.cn,6,569,384,609
11,Mudo,92(302)100-6910,gpitsalla@goo.gl,5,588,345,666
12,Skajo,86(144)789-5040,gpietzkeb@si.edu,6,544,344,620
13,Roodel,86(891)924-7600,rwhitlawc@angelfire.com,5,642,304,633
14,Bluejam,81(885)522-1505,wmcbeand@furl.net,5,692,316,642
15,Youtags,63(232)315-3943,rmouncee@wsj.com,5,676,365,686
16,Youtags,227(152)834-6599,fburginf@miibeian.gov.cn,5,548,392,694
17,Camido,81(390)185-2623,cmoquing@t.co,6,627,311,611
18,Devify,86(605)798-7768,rgookh@redcross.org,5,578,374,670
19,Quire,235(925)460-9904,pgrigolii@umn.edu,5,681,317,639
20,Brainverse,62(695)187-7666,nsigsworthj@buzzfeed.com,4,540,307,657
21,Skinte,687(968)727-8627,eyggok@netscape.com,4,538,334,680
22,Buzzster,359(363)664-1148,fganfordl@feedburner.com,4,669,345,693
23,Skinix,970(802)130-2776,gharesignm@wikispaces.com,5,587,359,683
24,Leexo,46(292)143-5209,bcholominn@wikispaces.com,4,664,314,616
25,Browsebug,233(198)309-0589,hgalleyo@squidoo.com,6,524,394,679
26,Voonyx,234(617)707-8880,rnussgenp@un.org,6,537,381,615
27,Youfeed,33(344)149-1034,gmcturleyq@twitpic.com,5,671,339,602
28,Muxo,86(528)521-2793,cudenr@dagondesign.com,5,570,312,693
29,Linkbridge,33(524)348-9458,schristensens@networksolutions.com,6,646,380,639
30,Yodel,355(303)699-7343,rguildt@redcross.org,4,676,360,696
31,Oloo,62(468)874-2826,tknucklesu@mtv.com,5,567,321,620
32,Brainverse,93(889)361-7132,bshapirav@princeton.edu,5,579,379,607
33,Divanoodle,86(756)511-6248,songw@freewebs.com,5,676,396,646
34,Skyble,86(109)279-2117,gnickolesx@economist.com,5,525,355,658
35,Meejo,86(976)666-4035,ccourceyy@google.co.jp,5,533,329,629
36,Edgetag,48(884)736-8943,ebrusinz@icq.com,6,599,350,605
37,Gabtune,62(301)510-5728,edeambrosi10@altervista.org,4,581,373,684
38,Meejo,33(613)867-8848,jvlasyev11@shutterfly.com,4,504,385,608
39,Wordpedia,880(856)156-6711,fcodlin12@de.vu,6,627,350,670
40,Twitterbridge,62(875)612-1289,oguerreau13@biglobe.ne.jp,4,546,309,619
41,Yodel,55(576)942-3215,mdarlison14@hc360.com,4,696,316,677
42,Oyoyo,1(935)661-2292,jhoggan15@wikipedia.org,5,615,338,627
43,Twitternation,46(471)212-2248,smerington16@salon.com,5,647,325,692
44,Kwinu,66(730)467-1664,tgudgin17@surveymonkey.com,4,633,385,665
45,Talane,505(891)182-7663,jjackman18@loc.gov,5,527,365,653
46,Tanoodle,229(666)161-8943,dogbourne19@answers.com,6,667,355,629
47,Flashdog,48(717)427-6558,swaldron1a@yandex.ru,4,511,356,653
48,Riffpedia,385(275)793-5158,kgianolo1b@auda.org.au,4,579,395,664
49,Babbleset,84(665)228-8260,jtoffoloni1c@go.com,4,533,367,653
50,Realblab,62(123)725-2178,omapholm1d@ftc.gov,4,605,363,620
51,Photobug,98(461)788-9645,moglethorpe1e@unc.edu,5,572,370,661
52,Riffpedia,62(293)896-2134,kmckern1f@slideshare.net,6,621,360,636
53,Browsebug,33(458)246-2099,eboggas1g@gov.uk,4,652,318,609
54,Twitternation,62(693)537-4153,mdonnison1h@sphinn.com,6,500,392,637
55,Edgeblab,380(575)983-4466,kcarslake1i@wikispaces.com,5,555,374,693
56,Meeveo,255(310)122-6252,cfrude1j@pagesperso-orange.fr,6,605,362,623
57,Thoughtstorm,967(399)464-4429,gmccowan1k@acquirethisname.com,6,568,391,636
58,Agivu,66(881)242-5832,scasol1l@so-net.ne.jp,5,562,374,629
59,Shuffletag,48(713)394-4046,rwardall1m@woothemes.com,4,503,395,630
60,Thoughtbeat,62(111)797-8499,mcleaves1n@naver.com,4,526,327,632
61,Trilith,420(192)128-2731,alebel1o@va.gov,4,622,340,689
62,Quire,351(795)479-4244,thalkyard1p@house.gov,5,631,304,637
63,Kwideo,244(889)166-2414,ebussy1q@twitpic.com,6,669,351,645
64,Feedbug,593(951)167-1669,lclevely1r@livejournal.com,6,634,336,603
65,Cogidoo,86(844)759-7109,eburtonwood1s@businessweek.com,6,608,339,696
66,Jaxnation,46(433)213-1247,jharpur1t@si.edu,5,587,391,666
67,Yakijo,351(525)954-9309,pgerasch1u@blogs.com,5,597,352,621
68,Rhynoodle,30(888)961-5357,kamburgy1v@scientificamerican.com,5,513,334,661
69,LiveZ,62(143)680-7956,amarages1w@msn.com,6,568,368,653
70,Cogidoo,62(934)112-5478,ewoolner1x@reverbnation.com,6,607,334,612
71,Devpulse,86(852)376-7363,epenny1y@smugmug.com,5,562,318,685
72,Snaptags,7(662)487-9514,jcrowche1z@bloglines.com,4,589,317,610
73,Mymm,81(384)514-4470,abourton20@marketwatch.com,6,583,353,651
74,Edgetag,86(785)808-8732,cbateson21@chron.com,4,689,368,632
75,Brightdog,504(449)928-2477,kgouck22@about.me,6,665,370,613
76,Jaxworks,30(434)267-1709,cstedson23@imdb.com,4,629,347,604
77,Jabbertype,371(944)937-2955,tbonnick24@harvard.edu,4,504,393,601
78,Abata,33(468)601-7058,sheatherington25@webeden.co.uk,6,549,339,625
79,Bubblebox,86(417)216-0673,gmcnae26@discovery.com,4,508,383,600
80,Zoomzone,54(218)413-3117,gledwitch27@wisc.edu,5,523,339,683
81,Thoughtblab,32(457)986-8318,fabelov28@skyrock.com,4,564,395,619
82,Mydo,63(508)812-9294,aephson29@studiopress.com,6,504,318,601
83,Wikivu,86(258)365-9514,cshoulders2a@europa.eu,5,681,380,661
84,Gigabox,7(618)878-8078,dtruin2b@hugedomains.com,6,681,374,674
85,Plajo,386(856)668-0468,gduerdin2c@dion.ne.jp,4,583,383,637
86,Kimia,86(472)548-2581,kmerioth2d@tripod.com,5,655,355,682
87,Thoughtbridge,62(696)262-2858,jroughey2e@loc.gov,6,579,332,615
88,Buzzdog,86(546)890-9059,lgerhold2f@craigslist.org,4,576,379,674
89,Realfire,7(373)293-6178,adyer2g@answers.com,5,539,348,647
90,Roodel,62(186)759-1333,avyel2h@census.gov,5,573,349,636
91,Teklist,63(269)198-3399,ctree2i@google.ru,6,640,322,673
92,Buzzbean,237(575)492-3519,msugden2j@alexa.com,6,700,338,661
93,Dynabox,86(326)902-4270,jstockey2k@a8.net,4,582,388,633
94,Skiba,54(860)822-7066,kdanels2l@deliciousdays.com,5,509,332,616
95,Meetz,86(684)925-0965,ylympany2m@vk.com,4,555,321,607
96,Gabcube,351(365)451-8656,ijobe2n@unc.edu,4,699,393,666
97,Wikivu,86(693)694-7514,hdetheridge2o@qq.com,6,538,305,673
98,Avavee,255(986)490-9704,jcastledine2p@umn.edu,5,513,398,615
99,Wordtune,591(347)674-0794,weastcourt2q@liveinternet.ru,4,551,332,676
100,Buzzster,55(298)462-7079,mbryett2r@xinhuanet.com,6,507,324,667
